Timestamp,Row,Col,x,y,z,distance,IMU_x,IMU_y,IMU_z,IMU_roll,IMU_pitch,IMU_yaw,LiDAR_x,LiDAR_y,LiDAR_z,LiDAR_roll,LiDAR_pitch,LiDAR_yaw,EKF_x,EKF_y,EKF_z,EKF_roll,EKF_pitch,EKF_yaw
68672,3,1,2760.41,692.60,626.22,2734,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,3,2,2743.40,368.79,635.58,2727,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,3,3,2745.83,59.21,645.55,2739,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,3,4,2753.30,-249.59,655.77,2756,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,3,5,519.23,-117.68,529.49,519,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,3,6,498.52,-172.94,530.11,500,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,3,7,497.56,-236.38,532.07,501,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,4,0,2735.17,1014.52,311.34,2699,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,4,1,2732.72,676.49,321.05,2707,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,4,2,2756.00,361.38,328.62,2740,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,4,3,2745.37,49.97,338.05,2739,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,4,4,2748.84,-258.53,346.58,2752,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,4,5,525.11,-120.64,470.91,525,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,4,6,495.46,-173.66,474.12,497,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
